Region,Date,Cases,Tests,Population,County,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
Northeastern,2020-06-05,3694,72947,1253904,Northeastern,312,15877,0.0196510675820369,0.0355461251989216,1.80886483904897,49,2783,0.0176068990298239,0.0390779517411221,2.2194681570519
Northeastern,2020-06-06,3749,75244,1253904,Northeastern,307,15583,0.0197009561701855,0.0349764757566312,1.77536945184229,55,2297,0.0239442751414889,0.0438630070563616,1.8318786765175
Northeastern,2020-06-07,3804,77720,1253904,Northeastern,334,16910,0.0197516262566529,0.0380525827449994,1.92655441382617,55,2476,0.0222132471728595,0.0438630070563616,1.97463282675548
Northeastern,2020-06-08,3834,79653,1253904,Northeastern,351,18174,0.01931330472103,0.0399893908487868,2.07056179283718,30,1933,0.0155199172271081,0.0239252765761972,1.54158532072631
Northeastern,2020-06-09,3917,83391,1253904,Northeastern,384,19664,0.0195280716029292,0.0437490771679035,2.24031732663972,83,3738,0.0222043873729267,0.0661932651941456,2.98108946139417
Northeastern,2020-06-10,3966,85164,1253904,Northeastern,377,18061,0.020873705774874,0.0429515679486969,2.05768771544142,49,1773,0.0276367738296672,0.0390779517411221,1.41398384565326
Northeastern,2020-06-11,4031,87568,1253904,Northeastern,386,17404,0.0221788094690876,0.0439769369448196,1.98283577872446,65,2404,0.0270382695507488,0.0518380992484273,1.9172121629726
Northeastern,2020-06-12,4097,89850,1253904,Northeastern,403,16903,0.0238419215523872,0.045913745048607,1.92575690460696,66,2282,0.0289219982471516,0.0526356084676339,1.8199160382294
Northeastern,2020-06-13,4173,92185,1253904,Northeastern,424,16941,0.025028038486512,0.0483062727062268,1.93008624036837,76,2335,0.0325481798715203,0.0606107006596996,1.86218402684735
Northeastern,2020-06-14,4227,94473,1253904,Northeastern,423,16753,0.0252492090968782,0.0481923428177687,1.90866742133825,54,2288,0.0236013986013986,0.043065497837155,1.82470109354464
Northeastern,2020-06-15,4261,96252,1253904,Northeastern,427,16599,0.0257244412313995,0.048648062371601,1.8911222185157,34,1779,0.0191118605958404,0.0271153134530235,1.4187689009685
Northeastern,2020-06-16,4309,98174,1253904,Northeastern,392,14783,0.0265169451396875,0.0446605162755681,1.68422554107583,48,1922,0.0249739854318418,0.0382804425219156,1.53281271931504
Northeastern,2020-06-17,4359,100295,1253904,Northeastern,393,15131,0.0259731676690239,0.0447744461640262,1.72387314225924,50,2121,0.0235737859500236,0.0398754609603287,1.69151705393714
Northeastern,2020-06-18,4425,102528,1253904,Northeastern,394,14960,0.0263368983957219,0.0448883760524843,1.70439113133291,66,2233,0.0295566502463054,0.0526356084676339,1.78083808648828
Northern,2020-03-15,0,NA,483871,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern,2020-03-16,1,NA,483871,Northern,NA,NA,NA,NA,NA,1,NA,NA,0.0020666665288889,NA
Northern,2020-03-17,1,NA,483871,Northern,NA,NA,NA,NA,NA,0,NA,NA,0,NA
Northern,2020-03-18,1,NA,483871,Northern,NA,NA,NA,NA,NA,0,NA,NA,0,NA
Northern,2020-03-19,2,NA,483871,Northern,NA,NA,NA,NA,NA,1,NA,NA,0.0020666665288889,NA
Northern,2020-03-20,3,NA,483871,Northern,NA,NA,NA,NA,NA,1,NA,NA,0.0020666665288889,NA
Northern,2020-03-21,3,NA,483871,Northern,NA,NA,NA,NA,NA,0,NA,NA,0,NA
Northern,2020-03-22,3,NA,483871,Northern,3,NA,NA,0.000885714226666671,NA,0,NA,NA,0,NA
Northern,2020-03-23,3,NA,483871,Northern,2,NA,NA,0.000590476151111114,NA,0,NA,NA,0,NA
Northern,2020-03-24,3,NA,483871,Northern,2,NA,NA,0.000590476151111114,NA,0,NA,NA,0,NA
Northern,2020-03-25,3,NA,483871,Northern,2,NA,NA,0.000590476151111114,NA,0,NA,NA,0,NA
