herc_region,Date,Cases,Tests,Population,County,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
Northeast,2020-04-30,1113,5374,474200,Northeast,619,2444,0.253273322422259,0.18647948424414,0.736277640537447,89,531,0.167608286252354,0.18768452129903,1.11978068325601
Northeast,2020-05-01,1237,5854,474200,Northeast,591,2516,0.23489666136725,0.178044224859914,0.757968307525456,124,480,0.258333333333333,0.261493040911008,1.01223112610713
Northeast,2020-05-02,1341,6415,474200,Northeast,577,2723,0.211898641204554,0.173826595167801,0.820328975115985,104,561,0.185383244206774,0.219316743989878,1.18304512863771
Northeast,2020-05-03,1435,6712,474200,Northeast,613,2896,0.211671270718232,0.184671928661806,0.872446827739953,94,297,0.316498316498317,0.198228595529313,0.626318009278785
Northeast,2020-05-04,1530,6938,474200,Northeast,629,2700,0.232962962962963,0.189492076881364,0.81340001205037,95,226,0.420353982300885,0.200337410375369,0.476592155208773
Northeast,2020-05-05,1634,7694,474200,Northeast,663,3217,0.206092632887784,0.199734891847924,0.96915105139483,104,756,0.137566137566138,0.219316743989878,1.59426402361873
Northeast,2020-05-06,1751,8370,474200,Northeast,727,3527,0.206124184859654,0.219015484726155,1.06254142314876,117,676,0.173076923076923,0.246731336988612,1.42555883593421
Northeast,2020-05-07,1807,9305,474200,Northeast,694,3931,0.176545408293055,0.209073929023317,1.1842501656926,56,935,0.0598930481283422,0.118093631379165,1.97174188106284
Northeast,2020-05-08,1882,9838,474200,Northeast,645,3984,0.161897590361446,0.194312225100922,1.20021690666988,75,533,0.140712945590994,0.158161113454239,1.12399831294812
Northeast,2020-05-09,1946,10170,474200,Northeast,605,3755,0.161118508655127,0.182261854552027,1.13122853527746,64,332,0.192771084337349,0.134964150147617,0.700126528890763
Northeast,2020-05-10,2011,10347,474200,Northeast,576,3635,0.158459422283356,0.173525335904079,1.09507742363078,65,177,0.367231638418079,0.137072964993674,0.373260227752003
Northeast,2020-05-11,2045,10646,474200,Northeast,515,3708,0.138888888888889,0.155148520817015,1.11706934988251,34,299,0.11371237458194,0.0716997047659216,0.630535638970898
Northeast,2020-05-12,2080,11459,474200,Northeast,446,3765,0.118459495351926,0.134361631620172,1.13424112791468,35,813,0.043050430504305,0.0738085196119781,1.71446646984395
