FIPS,GEO,County,Date,Cases,Tests,Population,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
55111,County,Sauk,2020-03-16,0,NA,64442,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55113,County,Sawyer,2020-03-16,0,NA,16558,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55115,County,Shawano,2020-03-16,0,NA,40899,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55117,County,Sheboygan,2020-03-16,3,NA,115340,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55109,County,St. Croix,2020-03-16,0,NA,90687,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55119,County,Taylor,2020-03-16,0,NA,20343,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55121,County,Trempealeau,2020-03-16,0,NA,29649,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55123,County,Vernon,2020-03-16,0,NA,30822,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55125,County,Vilas,2020-03-16,0,NA,22195,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55127,County,Walworth,2020-03-16,0,NA,103868,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55129,County,Washburn,2020-03-16,0,NA,15720,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55131,County,Washington,2020-03-16,0,NA,136034,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55133,County,Waukesha,2020-03-16,3,NA,404198,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55135,County,Waupaca,2020-03-16,0,NA,50990,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55137,County,Waushara,2020-03-16,0,NA,24443,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55139,County,Winnebago,2020-03-16,3,NA,171907,NA,NA,NA,NA,NA,2,NA,NA,0.0116341975603088,NA
55141,County,Wood,2020-03-16,1,NA,72999,NA,NA,NA,NA,NA,1,NA,NA,0.0136988177920245,NA
55,State,WI,2020-03-17,72,1110,5822434,NA,NA,NA,NA,NA,25,559,0.0447227191413238,0.00429373694918654,0.0960079581838111
55001,County,Adams,2020-03-17,0,NA,20220,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55003,County,Ashland,2020-03-17,0,NA,15562,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55005,County,Barron,2020-03-17,0,NA,45244,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55007,County,Bayfield,2020-03-17,0,NA,15036,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55009,County,Brown,2020-03-17,0,NA,264542,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55011,County,Buffalo,2020-03-17,0,NA,13031,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55013,County,Burnett,2020-03-17,0,NA,15414,NA,NA,NA,NA,NA,0,NA,NA,0,NA
